First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Configure bugtraq options after clone,0,Experienced,https://github.com/dotnet/aspnetcore/commit/ffe5f070e0ee18484daa1bc50bf81cc7ea2f5a25,0,1,0,0,0,0,
Run tests for all configured platforms ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/85a9af832e5cb6eed9aacd9dbad20ba0f822ebb8,0,0,0,0,1,0,
Multiple active result sets,0,Experienced,https://github.com/dotnet/aspnetcore/commit/dcc55c97ba740c90d1acbe1db90e31a1436006a7,0,0,0,0,0,1,
Fixing Issue #120,0,Experienced,https://github.com/dotnet/aspnetcore/commit/de56109c160dd0b870ecce582ee36d98f5516a29,0,1,0,0,0,0,
Mondo 2.1: ServerTests StaticFiles and Session,0,Experienced,https://github.com/dotnet/aspnetcore/pull/4184,0,0,0,0,1,0,
"2.1: Merge Localization, BasicMiddleware, and Identity ",0,Experienced,https://github.com/dotnet/aspnetcore/pull/4345,0,1,1,0,0,1,
14.28 If-Unmodified-Since - Incorrect condition,0,Experienced,https://github.com/dotnet/aspnetcore/commit/8487bf0ae53247be8a270c2e204a7e3c46386c23,1,0,0,0,0,0,
Updating to AutoMapper 5.0 ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/edf1f88398d23209b92b22a5f9087e3420b594f2,0,0,0,0,0,1,
Add support for clients to configure a policy with custom logic about,0,Experienced,https://github.com/dotnet/aspnetcore/commit/8214954d5b0dafe191890da9a3de86f5b607ea69,0,0,1,0,0,0,
Added babel-loader caching to improve subsequent build times.,0,Experienced,https://github.com/dotnet/aspnetcore/commit/365b2c50cb3daed02bbc6a79014d19b66c98f573,0,0,1,0,0,0,
Remove excessive periods in comments. (#1162) ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/795040a8a19be9e4530f4729f9bcc8d2d0a2891e,0,0,0,1,0,0,
Updatged package.json and webpack vendor config ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/c791ceee492a895bab51278303510b79b6b0f703,0,0,0,0,0,1,
Updating to new toolset compiler. (#2043) ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/f0ade24cf784fbadd8dfa3644497981d2144377f,0,0,0,0,0,1,Organziational.
Fix the double buffer rent/free (#921) ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/f71e31a1cd5c8a327f6434baf9dbcf4da96f3265,1,0,0,0,0,0,
 Avoid allocation of a new char array on every request in RouteCollection class,0,Experienced,https://github.com/dotnet/aspnetcore/commit/a3c1b6d03335675927568c5289d94b345fa795a9,1,0,0,0,0,0,
 [Fixes #6902] Added an overload for StatusCode that takes in System.Net.HttpStatusCode,0,Experienced,https://github.com/dotnet/aspnetcore/commit/c567a690bc4364c536a727dd3b64227bb574a0ec,0,1,0,0,0,0,
allow paths that contain '.' (#125) ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/70c8133fce523b6eb42f39cc4da78e9ac11e99dc,0,1,0,0,0,0,
Makes MapHub and MapEndpoint consistent with other ASP.NET Core APIs ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/31ef3c49df90731169b9c8ea5a6a707964a8001c,0,0,0,0,0,1,
 Add the middleware name to the exception message UseMiddlewareNoInvokeMethod (#993),0,Experienced,https://github.com/dotnet/aspnetcore/commit/9119433ab778d7adf04c4601917809f2f4582a93,0,1,0,0,0,0,
Update corefxlab dependencies to preview1 versions (#902) ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/29991868f32f12f4dc5dcb11e437d494fc895549,0,0,0,0,0,1,Organziational.
Add support for pointer events ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/043556d1113022210bb5c7972a967d0b1466da2a,0,0,1,0,0,0,
Lowercase scheme and host to better align with RFC 6454. ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/feceb3ddeaf0a0ca7e895eb83674d78fee53515c,0,0,0,0,0,1,
UrlHelperBase L166-167 declared type of url in TryFastGenerateUrl ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/05d729b4098a4f9015c88aaae680dcb0cf072480,0,0,0,0,0,1,
Implement parallel health checks ,0,Experienced,https://github.com/dotnet/aspnetcore/commit/d805cf3b2e5507940152361af106b74eb8043f3b,0,1,0,0,0,0,
Remove use of GetRuntimeInterfaceMap in IsTypeAwaitable,0,Experienced,https://github.com/dotnet/aspnetcore/pull/10572,0,0,0,0,0,1,
Grammer in comments,0,Medior,https://github.com/dotnet/aspnetcore/pull/12355,0,0,0,1,0,0,
Blazor _LinkBlazorApplication changed to use DOTNET_HOST_PATH,0,Experienced,https://github.com/dotnet/aspnetcore/pull/12849,1,0,0,0,0,1,
Add CreateXmlReader overload - adds Type parameter ,0,Experienced,https://github.com/dotnet/aspnetcore/pull/13302,0,0,1,0,0,0,
Add XML docs to IHttpContextAccessor and IHttpContextFactory,0,Medior,https://github.com/dotnet/aspnetcore/pull/14747,0,0,0,1,0,0,
Let UriEndpoint ToString return the Ur,1,Novice,https://github.com/dotnet/aspnetcore/pull/12668,0,0,0,0,0,1,
