First Commit Hash,Git Identification / Name
a4299daccddd1f31fe5ba0342bc460d80bd80a52,David Alderliesten
6451f9f5f4e1c57912428009341eb8fbce585c7e,Jesse Tilro (Laptop)
d0708c639ed7d49483709d7e8783abdfdd441400,Jesse Tilro (Desktop)
5383ba8baf26e8e17b4f9f6c35386a5fb25488fe,Jesse Tilro
1a2317e5d824d455519452b22b266a0a83979414,Niels Warnars
adda267882568e5569bec0295c6b20800b6e07df,NielsWarnars
7286fb1dc3bae0b33352681fe629056311625b23,Floris Doolaard
48e3eea1b4653847976542ecc3a0bee5b99d30f0,FlorisXll
1d3c8c2b2be5c29a2ad94e827a2efbe19eff30e7,J. Meijer
e1e180aa0504e48c98dcd11663beedba99c6657c,Jeroen Meijer(Desktop)
8b026630e41a058d049caa75900a52e623c8e311,unknown
